Olga 2SE,,,,,,,,,,,,,,,,,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Spring ,Summer,Fall ,Winter,Annual
1935,13.04,1.01,3.75,0.47,0.29,0.45,1.14,0.61,1.35,2.52,2.21,1.61,4.51,2.2,6.08,10.72,28.45
1934,5.92,1.35,2.96,1.07,0.78,0.07,0.58,0.95,1.4,1.77,4.3,5.63,4.81,1.6,7.47,19.68,26.78
1933,5.51,1.85,2.75,0.36,2.06,1.15,1.3,0.6,2.8,4.02,3.48,8.75,5.17,3.05,10.3,16.02,34.63
1932,3.73,4.93,4.68,2.06,0.34,0.82,3.3,0.75,0.94,3.27,7.71,3.51,7.08,4.87,11.92,10.87,36.04
1931,4.13,2.58,3.31,0.76,0.92,2.92,0.81,0.17,3.43,0.85,4.24,2.63,4.99,3.9,8.52,11.29,26.75
1930,1.32,3.95,2.7,1.75,0.88,1.08,0.01,0.01,1.47,5.31,1.26,1.22,5.33,1.1,8.04,7.93,20.96
1929,1.11,0.85,2.57,0.95,0.68,0.51,0.13,0.51,0.31,1.38,2.01,4.08,4.2,1.15,3.7,9.35,15.09
1928,4.19,0.87,2.36,2.21,0.1,0.95,0.38,0.4,0.84,4.21,1.77,2.35,4.67,1.73,6.82,4.31,20.63
1927,3.21,2.12,2.33,1.25,0.97,0.68,0.52,2.21,2.45,4.01,5.53,3.42,4.55,3.41,11.99,8.48,28.7
1926,3.32,3.07,0.82,1.11,2.77,0.26,0.01,1.51,1.17,2.91,3.19,4.39,4.7,1.78,7.27,9.72,24.53
1925,4.59,2.55,2.66,2.59,0.94,0.11,0.63,0.87,0.81,1.81,2.46,5.27,6.19,1.61,5.08,11.66,25.29
1924,2.56,5.5,1.03,1.97,0.12,0.76,0.65,0.82,1.29,2.14,4.15,6.89,3.12,2.23,7.58,14.03,27.88
1923,5.76,1.89,2.56,1.25,2.9,0.95,1.05,1.37,1.69,2.14,2.52,7.19,6.71,3.37,6.35,15.25,31.27
1922,1.91,1.68,2.38,2.02,1.17,0.02,0,1.15,2.6,3.34,1.88,5.7,5.57,1.17,7.82,13.35,23.85
1921,4.59,3.31,1.53,1.63,1.89,1.87,0.12,1.04,3.14,4.58,6.2,4.47,5.05,3.03,13.92,8.06,34.37
1920,6.19,0.66,3.22,2.8,1.16,2.12,0.55,1.24,3.73,5.58,3.6,5.18,7.18,3.91,12.91,13.08,36.03
1919,5.24,3.05,3.33,3.12,1.57,0.62,0.42,0.41,1.88,1.19,4.63,3.45,8.02,1.45,7.7,10.3,28.91
1918,4.86,3.04,2.4,0.57,0.63,0.25,1.49,2.13,0.27,4.11,3.83,5.64,3.6,3.87,8.21,13.93,29.22
1917,4.62,2.09,2.5,3.72,1.05,3.52,0.29,0.5,1.31,1.33,3.08,13.88,7.27,4.31,5.72,21.78,37.89
1916,2.61,4.86,6.09,1.89,1.06,0.86,2.16,0.13,0.99,1.51,2.53,4.19,9.04,3.15,5.03,10.9,28.88
1915,3.34,1.79,2.76,1.19,1.19,0.53,0.91,0.03,0.71,4.47,5.81,5.43,5.14,1.47,10.99,12.9,28.16
1914,5.17,2.52,1.44,2.44,0.35,3.86,0.03,0.22,4.51,2.04,6.35,1.29,4.23,4.11,12.9,6.42,30.22
1913,6.06,2.25,1.69,1.95,1.75,2.58,0.59,0.51,1.99,5.28,2.82,1.46,5.39,3.68,10.09,9.15,28.93
1912,3.85,2.74,1.4,2.09,2.35,1.73,1.28,3.62,1.14,3.38,5.17,5.05,5.84,6.63,9.69,13.36,33.8
1911,4.2,1.5,1.13,1.88,3.1,0.99,0.4,1.17,2.9,0.61,6.44,5.05,6.11,2.56,9.95,11.64,29.37
1910,5.47,3.74,2.54,1.93,1.5,1.31,0.01,0.5,1.16,4.96,5.72,6.95,5.97,1.82,11.84,12.65,35.79
1909,3.18,3.16,2.21,0.67,1.35,0.65,2.03,0.9,1.59,2.48,9.45,2.47,4.23,3.58,13.52,11.68,30.14
1908,3.81,3.67,3.57,1.06,1.7,0.8,0.55,0.93,0.16,3.31,2.62,3.18,6.33,2.28,6.09,9.52,25.36
1907,2.29,5.04,1.58,2.22,0.3,0.79,0.95,1.22,1.91,0.71,4.46,4.99,4.1,2.96,7.08,12.47,26.46
1906,2.77,3.1,1.05,0.75,4.27,1.35,0.23,1.13,3.59,4.8,5.62,5.34,6.07,2.71,14.01,12.67,34
1905,2.95,1.69,1.8,0.58,3.01,1.56,0.56,1.13,5.73,3.23,1.3,3.12,5.39,3.25,10.26,8.99,26.66
1904,4.92,4.45,3.52,1.46,0.63,1.37,0.4,0.49,0.98,1.97,5.17,4.1,5.61,2.26,8.12,8.74,29.46
1903,4.6,2.9,3.5,1.36,1.59,0.98,1.36,1.2,4.27,2.12,5.75,2.52,6.45,3.54,12.14,11.89,32.15
1902,2.4,1.86,3.36,2.03,1.69,0.55,0.98,0.96,1.69,1.7,6.26,6.69,7.08,2.49,9.65,14.19,30.17
1901,2.84,3.38,2.04,4.04,1.49,1.83,0.39,0.01,1.67,2.11,6.72,2.42,7.57,2.23,10.5,6.68,28.94
1900,4.25,3.08,2.95,1.88,2.56,2.47,0.64,1.37,1.88,2.76,2.22,4.52,7.39,4.48,6.86,10.74,30.58
1899,4.15,3.92,2.17,2.14,2.5,0.38,0.6,2.31,1.02,3.78,5.95,4.85,6.81,3.29,10.75,12.18,33.77
1898,1.33,3.93,3.22,1.22,0.96,2.15,0.46,0.3,2.55,3.31,4.31,3.42,5.4,2.91,10.17,11.49,27.16
1897,2.75,2.58,2.47,1.65,2.29,1.29,1.38,0.64,2.87,1.15,4.92,6.32,6.41,3.31,8.94,11.58,30.31
,,,,,,,,,,,,,,,,,
Average,3.915140187,2.825794393,2.405420561,1.829906542,1.548130841,1.338971963,0.832523364,1.010093458,1.654859813,2.920747664,4.140654206,4.347476636,5.783457944,3.181588785,8.716261682,11.08018692,28.76971963
